SID,Ticker,Exchange,Name,Price,Ask,Bid,DayLow,DayHigh,Volume,MarketOpen,MarketClose,FiftyTwoWeekLow,FiftyTwoWeekHigh,FiftyDayAverage,FiftyTwoWeekChange,TwoHundredDayAverage,AverageVolume,TenDayAverageVolume,Country,Sector,Industry,LastDividendValue,PayoutRatio,ProfitMargins,FloatShares,ShortShares,ShortSharesMonthAgo,Employees,BookValue,EarningsQuarterlyGrowth,NetIncomeToCommon,SharesOutstanding,ShortRatio,Market,LongBusinessSummary
8658,AEZS,NMS,Aeterna Zentaris Inc.,0.990,0.930,0.940,0.886,1.190,148497535,0.990,0.700,0.290,1.380,0.554,NULL,0.440,6159619,17012116,United States,Healthcare,Biotechnology,NULL,0.000,0.000,62626590,5244911,1607990400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8659,AFB,NYQ,AllianceBernstein National Municipal Income Fund,14.450,14.490,0.000,14.420,14.490,27002,14.450,14.450,9.940,14.520,14.168,NULL,13.873,41200,63316,United States,Financial Services,Asset Management,NULL,1.981,0.335,NULL,4028,1607990400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8660,AFBI,NMS,"Affinity Bancshares, Inc.",10.710,10.840,10.750,10.660,10.840,110153,10.710,10.720,7.000,10.900,10.765,NULL,8.926,166775,63833,United States,Financial Services,Banks—Regional,NULL,NULL,0.090,2032608,NULL,NULL,80,NULL,NULL,1966000.00,NULL,NULL,us_market,"Affinity Bancshares, Inc. operates as a holding company for Affinity Bank that provides various banking services. The company accepts various deposit accounts, including savings accounts, checking accounts, certificates of deposit, and individual retirement accounts. It also offers commercial and industrial, commercial real estate, one- to four-family residential real estate, construction and land, and consumer loans. In addition, the company invests in U.S. treasury securities; securities issued by the U.S. government and its agencies, or government sponsored enterprises, including mortgage-backed securities and collateralized mortgage obligations; corporate and municipal bonds; certificates of deposit in other financial institutions; and federal and money market funds. It operates a full-service office in Atlanta, Georgia; two full-service offices in Covington, Georgia; a loan production office in Braselton, Georgia; and a loan production office serving the Alpharetta and Cumming, Georgia markets. The company was founded in 1928 and is based in Covington, Georgia."
8661,AFG,NYQ,"American Financial Group, Inc.",92.780,0.000,93.550,90.260,94.070,559141,92.780,92.230,44.010,115.030,87.759,NULL,76.496,508345,1034850,United States,Financial Services,Insurance—Property & Casualty,NULL,0.654,0.035,67297323,430795,1607990400,7700,72.6510,0.12,251000000.00,86844200,0.920,us_market,"American Financial Group, Inc., an insurance holding company, provides property and casualty insurance products in the United States. The company operates through three segments: Property and Casualty Insurance, Annuity, and Other. It offers property and transportation insurance products, such as physical damage and liability coverage for buses, trucks, inland and ocean marine, agricultural-related products, and other commercial property coverages; specialty casualty insurance, including primarily excess and surplus, general liability, executive and professional liability, umbrella and excess liability, and specialty coverage in targeted markets, as well as customized programs for small to mid-sized businesses and workers' compensation insurance; and specialty financial insurance products comprising risk management insurance programs for lending and leasing institutions, surety and fidelity products, and trade credit insurance. The company sells its property and casualty insurance products through independent insurance agents and brokers, as well as through employee agents. It also provides traditional fixed, fixed-indexed, and variable-indexed annuities to the retail, financial institutions, registered investment advisor, and education markets. In addition, the company engages in the commercial real estate operations in Cincinnati, Whitefield, New Hampshire, Chesapeake Bay, Charleston, and Palm Beach. American Financial Group, Inc. was founded in 1872 and is headquartered in Cincinnati, Ohio."
8662,AFI,NYQ,"Armstrong Flooring, Inc.",4.030,0.000,0.000,3.920,4.110,140412,4.030,4.030,1.120,5.600,3.896,NULL,3.643,251820,153000,United States,Industrials,Building Products & Equipment,NULL,0.000,-0.097,15884893,466606,1607990400,1700,11.3240,NULL,-59100000.00,21626200,2.110,us_market,"Armstrong Flooring, Inc., together with its subsidiaries, designs, manufactures, sources, and sells resilient flooring products used in the construction and renovation of commercial, residential, and institutional buildings in North America and the Pacific Rim. It sells its products to independent wholesale flooring distributors, retailers, builders, contractors, installers, property management firms, homeowners, and others. The company was founded in 1860 and is headquartered in Lancaster, Pennsylvania."
8663,AFIB,NMS,"Acutus Medical, Inc.",25.100,25.220,24.360,24.280,26.050,529236,25.100,25.190,22.260,38.990,29.012,NULL,28.350,188043,301083,United States,Healthcare,Medical Devices,NULL,0.000,0.000,15407795,2011375,1607990400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8664,AFIF,BTS,Anfield Universal Fixed Income ETF,9.740,9.760,9.730,9.737,9.760,38142,9.740,9.755,9.110,10.770,9.764,NULL,9.801,82030,67983,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8665,AFIN,NMS,"American Finance Trust, Inc.",7.500,7.680,7.500,7.390,7.530,285819,7.500,7.450,4.200,13.660,7.691,NULL,7.110,578719,507033,United States,Real Estate,REIT—Diversified,NULL,NULL,-0.094,107950542,3957340,1607990400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8666,AFINO,NMS,"American Finance Trust, Inc.",24.960,25.500,24.900,24.900,24.990,8216,24.960,24.970,24.500,25.170,24.920,NULL,24.920,50312,29566,United States,Real Estate,REIT—Diversified,NULL,NULL,-0.094,107950542,10854,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8667,AFINP,NMS,"American Finance Trust, Inc.",25.200,25.500,25.180,25.180,25.300,11353,25.200,25.180,6.810,26.150,25.308,NULL,24.277,22493,14483,United States,Real Estate,REIT—Diversified,NULL,NULL,-0.094,107950542,20462,1607990400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8668,AFK,PCX,VanEck Vectors Africa Index ETF,20.730,0.000,0.000,20.670,21.000,39837,20.730,20.610,11.240,22.000,20.911,NULL,18.855,24967,63400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8669,AFL,NYQ,Aflac Incorporated,46.260,0.000,0.000,46.040,46.680,2654681,46.260,45.610,23.070,53.380,45.006,NULL,39.960,3973774,4353716,United States,Financial Services,Insurance—Life,NULL,0.174,0.211,645174884,7707585,1607990400,11729,46.1630,2.16,4607000064.00,702444992,2.130,us_market,"Aflac Incorporated, through its subsidiaries, provides supplemental health and life insurance products. It operates through two segments, Aflac Japan and Aflac U.S. The Aflac Japan segment offers cancer, medical, income support, and whole and term life insurance products, as well as WAYS and child endowment plans under saving type insurance products. The Aflac U.S. segment provides cancer, accident, short-term disability, critical illness, hospital indemnity, dental, vision, and term and whole life insurance products in the United States. It sells its products through sales associates, brokers, independent corporate agencies, individual agencies, and affiliated corporate agencies. The company was founded in 1955 and is headquartered in Columbus, Georgia."
8670,AFLG,PCX,First Trust Active Factor Large Cap ETF,22.940,0.000,0.000,22.889,22.940,263,22.940,22.670,13.440,23.300,22.516,NULL,21.072,1570,3133,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8671,AFMC,PCX,First Trust Active Factor Mid Cap ETF,22.270,0.000,0.000,22.503,22.503,5,22.270,22.311,12.094,22.930,21.966,NULL,19.475,209,500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8672,AFMD,NMS,Affimed N.V.,5.760,6.000,5.750,5.735,6.020,1972193,5.760,5.740,1.420,7.480,6.391,NULL,4.539,1736672,1813316,Germany,Healthcare,Biotechnology,NULL,0.000,-1.750,82395830,7037661,1607990400,137,0.6690,NULL,NULL,114786000,4.190,us_market,"Affimed N.V., a clinical-stage biopharmaceutical company, focuses on discovering and developing cancer immunotherapies in the United States, Europe, and Germany. Its lead product candidate is AFM13, a natural killer cell (NK-cell) TandAb, which has completed Phase 2a clinical study of relapsed CD30-positive lymphoma and Phase 1b clinical study of anti-PD-1 antibody Keytruda (pembrolizumab) in patients with relapsed Hodgkin lymphoma. The company is also developing AFM24, a tetravalent, bispecific epidermal growth factor receptor, and CD16A-binding innate cell engager for the treatment of advanced cancer patients; AFM26, an innate cell-engaging bispecific antibody targeting B cell maturation antigen (BCMA) for the treatment of multiple myeloma; and Trispecific antibodies for the treatment of multiple myeloma. In addition, it is developing AFM11, a T cell engager for the treatment of CD19+ B cell malignancies, including non-Hodgkin Lymphoma and acute lymphocytic leukemia (AML); and AMV564, a CD33/CD3-specific T-cell TandAb that is in Phase 1 clinical study of refractory AML. The company has license agreements with Amphivena Therapeutics, Inc., Deutsches Krebsforschungszentrum, and Xoma Corporation; research funding agreement with The Leukemia & Lymphoma Society; and collaboration with Merck Sharp & Dohme B.V. It also has a clinical development and commercialization collaboration with The University of Texas MD Anderson Cancer Center to evaluate AFM13 in combination with MD Anderson's NK-cell product; Genentech; and Roivant Sciences. The company was formerly known as Affimed Therapeutics B.V. and changed its name to Affimed N.V. in October 2014. Affimed N.V. was founded in 2000 and is headquartered in Heidelberg, Germany."
8673,AFRM,NMS,"Affirm Holdings, Inc.",110.000,115.500,114.750,111.000,118.800,1875593,110.000,107.610,90.010,137.980,108.461,NULL,108.461,6169992,1901066,United States,Technology,Information Technology Services,NULL,0.000,-0.163,13988635,417122,NULL,916,NULL,NULL,-110283000.00,121346000,0.020,us_market,"Affirm's mission is to deliver honest financial products that improve lives. With that in mind, we are building the next generation platform for digital and mobile-first commerce, making it easier for consumers to spend responsibly and with confidence, easier for merchants to convert sales and grow, and easier for commerce to thrive."
8674,AFSM,PCX,First Trust Active Factor Small Cap ETF,24.006,0.000,0.000,23.960,24.006,567,24.006,23.901,11.370,24.430,23.033,NULL,19.837,320,1750,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8675,AFT,NYQ,Apollo Senior Floating Rate Fund Inc.,14.670,14.580,0.000,14.530,14.670,41174,14.670,14.598,8.010,15.630,14.441,NULL,13.326,50522,47950,United States,Financial Services,Asset Management,NULL,NULL,-0.619,NULL,23485,1607990400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8676,AFTY,PCX,Pacer CSOP FTSE China A50 ETF,24.530,24.680,24.530,24.530,24.670,4653,24.530,24.260,14.080,24.930,23.438,NULL,20.894,4896,9066,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8677,AFYA,NMS,Afya Limited,23.300,24.500,23.520,23.300,23.950,80867,23.300,23.290,13.980,30.555,24.091,NULL,25.369,229496,304750,Brazil,Consumer Defensive,Education & Training Services,NULL,0.000,0.265,33488113,1047240,1607990400,3369,NULL,0.62,NULL,45168500,4.130,us_market,"Afya Limited, through its subsidiaries, operates as a medical education group in Brazil. The company provides educational products and services, including medical schools, medical residency preparatory courses, graduate courses, and other programs to lifelong medical learners enrolled across its distribution network, as well as to third-party medical schools. It offers health sciences courses, which comprise medicine, dentistry, nursing, radiology, psychology, pharmacy, physical education, physiotherapy, nutrition, and biomedicine; and degree programs and courses in other subjects and disciplines, including undergraduate and post graduate courses in business administration, accounting, law, civil and mechanical engineering, industrial engineering, dentistry, pedagogy, nutrition, physiotherapy, psychology, architecture, veterinary medicine, and others. In addition, the company provides distance learning residency preparatory courses through its online platform; and develops and sells printed and digital medical education content. As of December 31, 2019, it operated a network of 19 undergraduate and graduate medical school campuses consisted of 12 operating units and seven approved units. The company was founded in 1999 and is headquartered in Nova Lima, Brazil."
8678,AG,NYQ,First Majestic Silver Corp.,18.160,0.000,0.000,16.450,18.350,33162396,18.160,22.120,4.170,24.010,13.573,NULL,11.842,9307133,30461750,Canada,Basic Materials,Silver,NULL,0.000,-0.150,195855087,45795150,1607990400,4000,3.6460,2.62,-51404000.00,221238000,6.190,us_market,"First Majestic Silver Corp. engages in the acquisition, exploration, development, and production of mineral properties with a focus on silver production in Mexico. The company holds 100% interests in San Dimas Silver/Gold Mine comprises 119 concessions covering an area of 71,868 hectares located in Durango; the Santa Elena Silver/Gold Mine consists of 17 concessions covering an area of 57,656 hectares located in Sonora; and La Encantada Silver Mine comprises 22 concessions covering an area of 4,076 hectares situated in Coahuila, as well as surface land ownership of 1,343 hectares. It also holds interest in the Springpole project, a gold and silver project covering an area of approximately 41,943 hectares in Ontario, Canada. The company was formerly known as First Majestic Resource Corp. and changed its name to First Majestic Silver Corp. in November 2006. First Majestic Silver Corp. was incorporated in 1979 and is headquartered in Vancouver, Canada."
8679,AGBA,NCM,AGBA Acquisition Limited,10.500,10.550,10.400,10.480,10.550,24195,10.500,10.550,9.978,10.783,10.529,NULL,10.379,23966,51316,Hong Kong,Financial Services,Shell Companies,NULL,0.000,0.000,NULL,4367,1607990400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8680,AGBAU,NCM,AGBA Acquisition Limited,11.400,11.790,9.650,11.750,11.750,40,11.400,10.710,10.200,1054.000,42.644,NULL,18.502,343,0,Hong Kong,Financial Services,Shell Companies,NULL,NULL,0.000,NULL,5,1607990400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8681,AGC,NCM,Altimeter Growth Corp.,14.380,14.510,14.000,14.130,14.730,159612,14.380,14.120,11.500,18.109,13.801,NULL,13.487,124261,248166,United States,Financial Services,Shell Companies,NULL,NULL,0.000,NULL,120012,1607990400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8682,AGCB,NYQ,Altimeter Growth Corp. 2,12.000,0.000,0.000,11.920,12.200,754442,12.000,11.950,11.560,15.210,12.783,NULL,12.783,1139276,826266,United States,Financial Services,Shell Companies,NULL,NULL,0.000,NULL,22032,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8683,AGCO,NYQ,AGCO Corporation,116.120,0.000,0.000,116.010,118.635,535118,116.120,114.620,35.330,118.635,107.619,NULL,85.188,769011,830666,United States,Industrials,Farm & Heavy Construction Machinery,NULL,0.235,0.023,61793595,1333370,1607990400,20961,37.5130,19.70,203400000.00,74899504,1.740,us_market,"AGCO Corporation manufactures and distributes agricultural equipment and related replacement parts worldwide. It offers high horsepower tractors for row crop production, soil cultivation, planting, land leveling, seeding, and commercial hay operations; utility tractors for small- and medium-sized farms, as well as for dairy, livestock, orchards, and vineyards; and compact tractors for small farms, specialty agricultural industries, landscaping, equestrian, and residential uses. The company also provides grain storage bins and related drying and handling equipment systems; seed-processing systems; swine and poultry feed storage and delivery; ventilation and watering systems; and egg production systems and broiler production equipment. In addition, it offers round and rectangular balers, loader wagons, self-propelled windrowers, forage harvesters, disc mowers, spreaders, rakes, tedders, and mower conditioners for harvesting and packaging vegetative feeds used in the beef cattle, dairy, horse, and renewable fuel industries. Further, the company provides implements, including disc harrows leveling seed beds and mixing chemicals with the soils; heavy tillage to break up soil and mix crop residue into topsoil; field cultivators that prepare smooth seed bed and destroy weeds; drills for small grain seeding; planters and other planting equipment; and loaders. Additionally, it offers combines for harvesting grain crops, such as corn, wheat, soybeans, and rice; and application equipment, such as self-propelled, three- and four-wheeled vehicles, and related equipment for liquid and dry fertilizers and crop protection chemicals, and for after crops emerge from the ground, as well as produces diesel engines, gears, and generating sets. The company markets its products under the Challenger, Fendt, GSI, Massey Ferguson, and Valtra brands through a network of independent dealers and distributors. AGCO Corporation was founded in 1990 and is headquartered in Duluth, Georgia."
8684,AGCUU,NCM,Altimeter Growth Corp.,15.350,16.000,12.000,14.900,15.620,26396,15.350,15.220,11.500,18.918,14.515,NULL,13.030,82630,77233,United States,Financial Services,Shell Companies,NULL,NULL,0.000,NULL,4192,1607990400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8685,AGD,NYQ,Aberdeen Global Dynamic Dividend Fund,10.790,0.000,0.000,10.730,10.850,26195,10.790,10.650,5.220,10.950,10.565,NULL,9.696,41325,55000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8686,AGE,ASE,"AgeX Therapeutics, Inc.",1.850,0.000,0.000,1.800,1.900,119375,1.850,1.820,0.666,3.930,1.716,NULL,1.425,225537,203383,United States,Healthcare,Biotechnology,NULL,0.000,0.000,18207934,363471,1607990400,17,-0.0970,NULL,-11130000.00,37691000,1.610,us_market,"AgeX Therapeutics, Inc., a biotechnology company, focuses on the development and commercialization of novel therapeutics targeting human aging and degenerative diseases in the United States. The company's lead cell-based therapeutic candidates in development include AGEX-BAT1, a cell therapy product candidate for the treatment of various age-related metabolic disorders, such as Type II adult-onset diabetes; and AGEX-VASC1, a cell-based therapy to restore vascular support in aged ischemic tissues, such as the ischemic heart. Its lead drug-based therapeutic candidate in discovery is AGEX-iTR1547, a drug-based formulation to restore regenerative potential in a range of aged tissues afflicted with degenerative diseases. In addition, the company markets human embryonic stem cells; and GeneCards Database Suite, including genomic interpretation algorithms and analysis tools for use by researchers at pharmaceutical and biotechnology companies, and other institutions. AgeX Therapeutics, Inc. has a research collaboration with the University of California, Irvine on neural stem cell research program for Huntington's disease and other neurological disorders; and Sernova Corp. The company was founded in 2017 and is based in Alameda, California."
8687,AGEN,NCM,Agenus Inc.,3.970,4.210,4.200,3.960,4.500,5442215,3.970,3.950,1.820,5.630,3.462,NULL,3.817,2227685,3323283,United States,Healthcare,Biotechnology,NULL,0.000,-1.897,143197636,24961687,1607990400,328,-1.0490,NULL,-173571008.00,190148992,11.670,us_market,"Agenus Inc., a clinical-stage immuno-oncology company, discovers, manufactures, and develops immuno-oncology products in the United States and internationally. The company offers Retrocyte Display, an antibody discovery platform for the identification of fully-human and humanized monoclonal antibodies; and display technologies. It develops vaccine programs, including Prophage vaccine candidate; AutoSynVax, a synthetic neo-antigen; PhosPhoSynVax, a vaccine candidate designed to induce immunity against a class of tumor specific neo-epitopes; and QS-21 Stimulon adjuvant, a saponin-based vaccine adjuvant. The company also develops CTLA-4 and PD-1 antagonists which is in clinical trial phase I for the dose escalation study; AGEN2373, an anti-CD137 monospecific antibody which is in Phase 1 clinical trial; AGEN1223, a novel bispecific antibody designed to deplete regulatory T cells which is in a Phase 1 clinical trial; GS-1423, a tumor microenvironment conditioning anti-CD73/TGFÃ TRAP bi-functional antibody which is in Phase 1 clinical trial; and TIGIT antibodies. In addition, it engages in the development of INCAGN1876, an anti-GITR monospecific antibody; INCAGN1949, an anti-OX40 monospecific antibody; INCAGN2390, an anti-TIM-3 monospecific antibody; INCAGN2385, an anti-LAG-3 monospecific antibody; and MK-4830, a monospecific antibody targeting ILT4. Agenus Inc. has collaboration agreements with Incyte Corporation, Merck Sharpe & Dohme, and Recepta Biopharma SA.; and collaboration with Gilead Sciences, Inc. to develop immuno-oncology therapies. The company was formerly known as Antigenics Inc. and changed its name to Agenus Inc. in January 2011. Agenus Inc. was founded in 1994 and is headquartered in Lexington, Massachusetts."
8688,AGFS,NMS,"AgroFresh Solutions, Inc.",1.970,2.020,1.960,1.950,2.150,654903,1.970,1.940,1.000,4.200,2.184,NULL,2.369,126430,193350,United States,Consumer Defensive,Farm Products,NULL,0.000,-0.428,30238430,793726,1607990400,292,5.1970,NULL,-75722000.00,53055000,4.520,us_market,"AgroFresh Solutions, Inc. provides science-based solutions, data-driven technologies, and services to enhance the quality and extend the shelf life of fresh produce. It offers solutions in various fresh produce categories, including apples, bananas, cherries, citrus, and pears, as well as avocados, kiwifruits, melons, ornamentals, peaches and nectarines, plums, tomatoes, and others. The company supports growers, packers, and retailers by providing post-harvest solutions across the industry to enhance crop values while conserving planet's resources and reducing food waste. The company's flagship product is the SmartFresh system that regulates the post-harvest ripening effects of ethylene to preserve the texture, firmness, taste, and appearance of produce during storage, transportation, and retail display. It also provides Harvista technology for use in pre-harvest management of pome fruit, apples, pears, cherries, and blueberries. In addition, the company is developing RipeLock, a packaging- based freshness technology solution for fruits and vegetables; FreshCloud, a suite of monitoring and screening solutions; and LandSpring, a 1-Methylcyclopropene technology targeted to transplanted vegetable seedlings. It operates in North America, Europe, the Middle East, and Africa, as well as Latin America and the Asia Pacific. The company was formerly known as Boulevard Acquisition Corp. and changed its name to AgroFresh Solutions, Inc. in July 2015. AgroFresh Solutions, Inc. is headquartered in Philadelphia, Pennsylvania."
8689,AGG,PCX,iShares Core U.S. Aggregate Bond ETF,116.990,0.000,0.000,116.970,117.090,5179562,116.990,117.230,105.560,119.730,117.596,NULL,118.067,5857558,6045133,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8690,AGGP,PCX,IQ Enhanced Core Plus Bond U.S. ETF,19.910,0.000,0.000,19.900,19.910,888,19.910,19.905,18.680,21.400,19.928,NULL,19.882,8079,7283,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8691,AGGY,PCX,WisdomTree Yield Enhanced U.S. Aggregate Bond Fund,53.210,53.210,53.190,53.180,53.230,76468,53.210,53.230,46.210,54.740,53.381,NULL,53.792,183888,164800,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8692,AGI,NYQ,Alamos Gold Inc.,7.990,0.000,0.000,7.750,8.025,3041938,7.990,8.130,3.340,11.580,8.658,NULL,9.285,2932567,2784166,Canada,Basic Materials,Gold,NULL,0.211,0.149,390997289,3374819,1607990400,1700,7.0530,2.84,105300000.00,392728000,1.130,us_market,"Alamos Gold Inc., together with its subsidiaries, engages in the acquisition, exploration, development, and extraction of gold deposits in North America. It also explores for silver and precious metals. The company's flagship project is the Young-Davidson mine, which includes contiguous mineral leases and claims totaling 11,000 acres located in Northern Ontario, Canada. It also holds interests in a portfolio of development stage projects in Turkey, Canada, Mexico, and the United States; and in a land package comprising 5,418 hectares located within the Michipicoten Greenstone Belt. The company was formerly known as AuRico Gold Inc. and changed its name to Alamos Gold Inc. in July 2015. The company was incorporated in 2003 and is headquartered in Toronto, Canada."
8693,AGIO,NMS,"Agios Pharmaceuticals, Inc.",49.050,54.000,45.100,49.050,50.980,678045,49.050,48.790,27.770,56.750,43.888,NULL,41.443,831329,659716,United States,Healthcare,Biotechnology,NULL,0.000,-1.706,61409217,5519475,1607990400,536,6.9430,NULL,-332063008.00,69259800,5.450,us_market,"Agios Pharmaceuticals, Inc., a biopharmaceutical company, engages in the discovery and development of medicines in the field of cellular metabolism and adjacent areas of hematologic malignancies, solid tumors, and rare genetic diseases. The company offers TIBSOVO (ivosidenib), an oral targeted inhibitor for treating adult patients with relapsed or refractory acute myeloid leukemia (R/R AML), as well as to treat patients with newly diagnosed AML; and IDHIFA, an oral targeted inhibitor for patients with R/R AML and an isocitrate dehydrogenase 2 mutation. It is also developing TIBSOVO, which has completed Phase II clinical trials to treat IC eligible frontline AML; that is in Phase III clinical trials for treating IC ineligible frontline AML; and that is in Phase III clinical trials for the treatment of cholangiocarcinoma, as well as in early stage clinical development to treat glioma and solid tumors. In addition, the company is developing IDHIFA, which has completed Phase II clinical study for treating IC eligible frontline AML; and that is in Phase I/II clinical trials for the treatment of IC ineligible frontline AML. Further, it is developing mitapivat, which is in Phase III clinical trials to treat pyruvate kinase deficiency, as well as in Phase II clinical study for treating thalassemia; vorasidenib (AG-881) that is in Phase I clinical trials for the treatment of solid tumors, including glioma; AG-270, which is in Phase I dose-escalation trial to treat methylthioadenosine phosphorylase deleted cancers; and AG-636 that is in pre-clinical stage for treating hematologic malignancies. Agios Pharmaceuticals, Inc. was incorporated in 2007 and is based in Cambridge, Massachusetts."
8694,AGLE,NGM,"Aeglea BioTherapeutics, Inc.",7.320,7.670,7.610,7.290,7.720,158322,7.320,7.290,3.500,11.380,8.015,NULL,7.756,215590,379716,United States,Healthcare,Biotechnology,NULL,0.000,0.000,24673708,1916365,1607990400,87,3.0490,NULL,-79674000.00,47937100,9.490,us_market,"Aeglea BioTherapeutics, Inc., a clinical-stage biotechnology company, designs and develops human enzyme therapeutics for the treatment of patients with rare genetic and cancer diseases. The company's lead product candidate includes pegzilarginase, a recombinant human Arginase 1 enzyme which is in Phase III PEACE trial to evaluate the safety and efficacy for the treatment of Arginase 1 deficiency. Its preclinical pipeline products comprise ACN00177, a product candidate for the treatment of homocystinuria; AEB5100, a recombinant human enzyme that degrades plasma cystine and cysteine; AEB2109, an engineered human enzyme that targets the degradation of the amino acid methionine; and AEB3103, a product candidate. The company was formerly known as Aeglea BioTherapeutics Holdings, LLC and changed its name to Aeglea BioTherapeutics, Inc. in March 2015. Aeglea BioTherapeutics, Inc. was founded in 2013 and is headquartered in Austin, Texas."
8695,AGM,NYQ,Federal Agricultural Mortgage Corporation,78.670,78.550,77.700,77.390,78.670,44551,78.670,77.700,40.050,83.060,76.625,NULL,69.260,52427,35616,United States,Financial Services,Credit Services,NULL,0.376,0.559,9523899,137844,1607990400,103,52.8270,0.43,88811000.00,9204910,2.580,us_market,"Federal Agricultural Mortgage Corporation provides a secondary market for various loans made to borrowers in the United States. It operates through four segments: Farm & Ranch, USDA Guarantees, Rural Utilities, and Institutional Credit. The Farm & Ranch segment purchases and retains eligible mortgage loans that are secured by first liens on agricultural real estate; securitizes eligible mortgage loans, and guarantees the timely payment of principal and interest on securities representing interests in or obligations secured by pools of mortgage loans; and issues long-term standby purchase commitments (LTSPC) on designated eligible mortgage loans. The USDA Guarantees segment purchases portions of certain agricultural and rural development loans guaranteed by the United States Department of Agriculture (USDA). The Rural Utilities segment purchases and guarantees securities that are backed by eligible rural utilities loans; and issues LTSPCs for pools of eligible rural utilities loans. The Institutional Credit segment engages in purchasing and guaranteeing general obligations of lenders and other financial institutions that are secured by pools of loans eligible under the Farm & Ranch, USDA Guarantees, or Rural Utilities lines of business. Federal Agricultural Mortgage Corporation was founded in 1987 and is headquartered in Washington, District of Columbia."
8696,AGMH,NCM,AGM Group Holdings Inc.,15.100,20.000,14.190,15.100,15.550,5647,15.100,15.410,13.980,26.440,15.331,NULL,15.180,5930,5016,Hong Kong,Technology,Software—Application,NULL,0.000,-2.301,7517478,7398,1607990400,48,0.5150,NULL,-1661272.00,21831300,1.270,us_market,"AGM Group Holdings Inc. operates as a software company in the People's Republic of China. The company develops and sells enterprise application software, including accounting software and enterprise resource planning software; and social trading software and multi-accounting trading management system to small and mid-size broker and institutional clients. It also develops subscription based and interactive trading education website; and provides technical support plans and software customization services. The company was founded in 2015 and is based in Wan Chai, Hong Kong."
8697,AGNC,NMS,AGNC Investment Corp.,15.980,16.110,16.020,15.910,16.120,6806087,15.980,15.890,6.250,19.650,15.628,NULL,14.594,6795374,9407533,United States,Real Estate,REIT—Mortgage,NULL,NULL,0.000,535086890,7300318,1607990400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8698,AGNCM,NMS,AGNC Investment Corp.,24.520,24.940,24.110,24.500,24.790,14454,24.520,24.470,10.050,26.190,24.583,NULL,23.456,40103,27166,United States,Real Estate,REIT—Mortgage,NULL,NULL,0.000,535086890,227370,1607990400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8699,AGNCN,NMS,AGNC Investment Corp.,25.140,25.210,25.150,25.100,25.250,67760,25.140,25.070,10.000,26.400,25.409,NULL,24.273,51954,56100,United States,Real Estate,REIT—Mortgage,NULL,NULL,0.000,535086890,22024,1607990400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8700,AGNCO,NMS,AGNC Investment Corp.,24.500,24.490,24.450,24.450,24.610,30303,24.500,24.430,8.870,26.250,24.489,NULL,23.352,86395,45016,United States,Real Estate,REIT—Mortgage,NULL,NULL,0.000,535086890,516524,1607990400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
